Municipio,Grande.regiao,Num.Casos,Num.obitos,Pop,Grau.Urb,Infect.100mil,obitos.100mil
Águas de Lindóia,Interior,3,1,18374,99.1,16.3274191792751,5.44247305975835
Águas de São Pedro,Interior,1,0,3122,100,32.0307495195388,0
Adamantina,Interior,2,0,33894,96.38,5.90074939517319,0
Aguaí,Interior,1,0,35608,92.21,2.80835767243316,0
Agudos,Interior,15,1,36134,96.35,41.5121492223391,2.7674766148226
Alambari,Interior,1,0,5779,81.83,17.3040318394186,0
Américo Brasiliense,Interior,5,0,40243,99.24,12.4245210347141,0
Americana,Interior,33,3,233458,99.53,14.135304851408,1.28502771376436
Amparo,Interior,9,0,69639,84.18,12.9237927023651,0
Andradina,Interior,5,0,56054,94.29,8.9199700289007,0
Angatuba,Interior,2,1,24501,74.83,8.16293212521938,4.08146606260969
Aparecida,Interior,1,0,35709,98.55,2.80041446134028,0
Apiaí,Interior,1,0,24666,81.06,4.05416362604395,0
Araçariguama,Interior,3,1,20980,100,14.2993326978074,4.76644423260248
Araçatuba,Interior,55,2,190469,98.07,28.8760900724002,1.05003963899637
Araçoiaba da Serra,Interior,2,0,32390,68.73,6.17474529175672,0
Arandu,Interior,9,2,6165,82.51,145.985401459854,32.441200324412
Araraquara,Interior,48,3,227618,97.16,21.0879631663577,1.31799769789735
Araras,Interior,11,0,131057,95.2,8.39329452070473,0
Arealva,Interior,1,0,8196,83.88,12.2010736944851,0
Areiópolis,Interior,3,0,10857,92.68,27.6319425255595,0
Artur Nogueira,Interior,1,0,52609,90.54,1.90081544982798,0
Arujá,RMSP,42,1,89744,96.31,46.7997860581209,1.11428062043145
Assis,Interior,8,2,101381,95.64,7.89102494550261,1.97275623637565
Atibaia,Interior,25,1,139606,93.66,17.9075397905534,0.716301591622137
Auriflama,Interior,1,0,14471,93.41,6.91037246907608,0
Avaí,Interior,1,0,5288,67.15,18.910741301059,0
Avaré,Interior,11,1,87538,96.54,12.5659713495853,1.14236103178048
Bady Bassitt,Interior,2,0,16329,93.9,12.2481474676955,0
Bariri,Interior,1,0,33993,96.38,2.94178213161533,0
Barra Bonita,Interior,5,0,34914,98.15,14.3209027897119,0
Barretos,Interior,19,2,118048,96.95,16.095147736514,1.69422607752779
Barueri,RMSP,246,13,264390,100,93.0443662770907,4.91697870569991
Batatais,Interior,1,0,60222,88.44,1.66052273255621,0
Bauru,Interior,79,6,364225,98.33,21.6898894913858,1.64733337909259
Bebedouro,Interior,3,0,74155,96.16,4.04558020362754,0
Bilac,Interior,1,0,7816,94.33,12.7942681678608,0
Birigui,Interior,13,0,121329,97.36,10.7146683810136,0
Biritiba Mirim,RMSP,2,0,32338,87.23,6.18467437689406,0
Boituva,Interior,6,0,57292,94.07,10.4726663408504,0
Bom Jesus dos Perdões,Interior,1,0,24291,91.05,4.1167510600634,0
Borborema,Interior,1,0,15323,94.01,6.52613717940351,0
Borebi,Interior,2,0,2579,93.06,77.5494377665762,0
Botucatu,Interior,40,2,141135,96.64,28.3416586955752,1.41708293477876
Bragança Paulista,Interior,40,9,163980,98.1,24.3932186852055,5.48847420417124
Brodowski,Interior,5,0,23943,98.76,20.8829302927787,0
Buritama,Interior,4,0,16596,95.94,24.1021932995903,0
Caçapava,Interior,8,0,91217,85.56,8.77029501079843,0
Cabreúva,Interior,1,0,49430,89.6,2.02306291725673,0
Cachoeira Paulista,Interior,3,0,32231,83.48,9.3078092519624,0
Caiabu,Interior,1,1,4103,85.45,24.3724104313917,24.3724104313917
Caieiras,RMSP,68,10,100612,98.26,67.5863714069892,9.93917226573371
Cajamar,RMSP,21,3,77627,98.82,27.0524430932536,3.86463472760766
Cajati,Interior,5,0,28992,74.15,17.2461368653422,0
Cajuru,Interior,2,0,25663,89.38,7.79332112379691,0
Campinas,Interior,279,12,1175501,98.28,23.7345608383149,1.02084132637914
Campo Limpo Paulista,Interior,13,2,82842,100,15.6925231162937,2.41423432558364
Campos do Jordão,Interior,3,0,50118,99.38,5.98587333892015,0
Cananéia,Interior,5,0,12341,86.78,40.5153553196662,0
Capão Bonito,Interior,3,1,46418,85.01,6.46301003920893,2.15433667973631
Capela do Alto,Interior,1,0,20542,86.73,4.86807516308052,0
Caraguatatuba,Interior,24,3,116106,96.29,20.6707663686631,2.58384579608289
Carapicuíba,RMSP,173,8,394598,100,43.8420873902047,2.02737976370889
Castilho,Interior,2,0,20728,75.46,9.6487842531841,0
Catanduva,Interior,11,3,117206,99.2,9.38518505878539,2.55959592512329
Cedral,Interior,1,0,8836,82.91,11.3173381620643,0
Chavantes,Interior,1,0,12223,94.29,8.18129755379203,0
Conchas,Interior,1,1,17134,85.37,5.8363487802031,5.8363487802031
Cordeirópolis,Interior,1,0,24356,89.82,4.10576449334866,0
Cotia,RMSP,143,12,247424,100,57.7955250905329,4.84997413347129
Cravinhos,Interior,8,1,34428,98.52,23.2369001975137,2.90461252468921
Cruzeiro,Interior,5,1,79927,97.73,6.25570833385464,1.25114166677093
Cubatão,Interior,31,0,129145,100,24.0040264818615,0
Diadema,RMSP,188,13,404477,100,46.4797751170029,3.21402700277148
Dobrada,Interior,1,0,8904,97.77,11.2309074573226,0
Dracena,Interior,4,2,44995,92.89,8.88987665296144,4.44493832648072
Duartina,Interior,1,0,11975,92.23,8.35073068893528,0
Elias Fausto,Interior,1,0,17346,84.2,5.7650178715554,0
Embu-Guaçu,RMSP,15,3,68053,97.33,22.0416440127548,4.40832880255095
Embu das Artes,RMSP,84,8,270790,100,31.020347871044,2.95431884486133
Engenheiro Coelho,Interior,1,0,20535,76.16,4.86973459946433,0
Espírito Santo do Pinhal,Interior,1,0,42573,91.22,2.34890658398515,0
Estiva Gerbi,Interior,1,0,11079,79.76,9.02608538676776,0
Estrela d'Oeste,Interior,1,0,8094,87.21,12.3548307388189,0
Fartura,Interior,1,0,15644,83.39,6.39222705190488,0
Fernandópolis,Interior,9,0,66112,96.94,13.6132623426912,0
Ferraz de Vasconcelos,RMSP,75,3,193037,95.51,38.8526551904557,1.55410620761823
Franca,Interior,6,0,342125,98.24,1.75374497625137,0
Francisco Morato,RMSP,60,4,174403,99.8,34.4030779287054,2.29353852858036
Franco da Rocha,RMSP,111,11,152201,92.13,72.9298756249959,7.22728497184644
Garça,Interior,2,0,42483,93.7,4.70776545912483,0
Guaíra,Interior,1,0,39061,96.87,2.56009830777502,0
Guararapes,Interior,5,0,32076,94.02,15.5879785509415,0
