Localidades,Pop ,Pop Masc,Pop Fem ,Pop Urbana ,Pop Rural ,Grau Urban(porc)
Adamantina,33894,16326,17568,32668,1226,96.38
Adolfo,3447,1707,1740,3189,258,92.52
Aguaí,35608,17889,17719,32833,2775,92.21
Águas da Prata,7797,3830,3967,7188,609,92.19
Águas de Lindóia,18374,8944,9430,18209,165,99.1
Águas de Santa Bárbara,5931,2903,3028,4611,1320,77.74
Águas de São Pedro,3122,1466,1656,3122,,100
Agudos,36134,17816,18318,34815,1319,96.35
Alambari,5779,2885,2894,4729,1050,81.83
Alfredo Marcondes,3927,2001,1926,3554,373,90.5
Altair,4036,2142,1894,3413,623,84.56
Altinópolis,15553,7735,7818,14272,1281,91.76
Alto Alegre,4017,2052,1965,3412,605,84.94
Alumínio,17972,9023,8949,15073,2899,83.87
Álvares Florence,3621,1832,1789,2663,958,73.54
Álvares Machado,23789,11684,12105,21720,2069,91.3
Álvaro de Carvalho,5044,3142,1902,3400,1644,67.41
Alvinlândia,3176,1566,1610,2929,247,92.22
Americana,233458,114164,119294,232367,1091,99.53
Américo Brasiliense,40243,20106,20137,39938,305,99.24
Américo de Campos,5736,2865,2871,5025,711,87.6
Amparo,69639,34189,35450,58620,11019,84.18
Analândia,4850,2475,2375,4065,785,83.81
Andradina,56054,27443,28611,52856,3198,94.29
Angatuba,24501,12302,12199,18333,6168,74.83
Anhembi,6672,3398,3274,5256,1416,78.78
Anhumas,3963,1971,1992,3477,486,87.74
Aparecida,35709,17187,18522,35190,519,98.55
Aparecida d'Oeste,4132,2001,2131,3589,543,86.86
Apiaí,24666,12298,12368,19995,4671,81.06
Aramina,5496,2741,2755,5293,203,96.31
Arandu,6165,3099,3066,5087,1078,82.51
Arapeí,2471,1234,1237,1920,551,77.7
Araraquara,227618,109815,117803,221147,6471,97.16
Araras,131057,64375,66682,124772,6285,95.2
Araçariguama,20980,10611,10369,20980,,100
Araçatuba,190469,91360,99109,186796,3673,98.07
Araçoiaba da Serra,32390,16012,16378,22263,10127,68.73
ArcoÍris,1816,906,910,1165,651,64.15
Arealva,8196,4121,4075,6875,1321,83.88
Areias,3843,1901,1942,2577,1266,67.06
Areiópolis,10857,5558,5299,10062,795,92.68
Ariranha,9320,4714,4606,8826,494,94.7
Artur Nogueira,52609,26120,26489,47632,4977,90.54
Arujá,89744,44246,45498,86429,3315,96.31
Aspásia,1765,882,883,1322,443,74.9
Assis,101381,49365,52016,96956,4425,95.64
Atibaia,139606,68437,71169,130756,8850,93.66
Auriflama,14471,7181,7290,13517,954,93.41
Avaí,5288,2643,2645,3551,1737,67.15
Avanhandava,12114,6637,5477,10243,1871,84.56
Avaré,87538,43336,44202,84509,3029,96.54
Bady Bassitt,16329,8109,8220,15333,996,93.9
Balbinos,3704,2978,726,1191,2513,32.15
Bálsamo,8524,4150,4374,7948,576,93.24
Bananal,10651,5251,5400,8994,1657,84.44
Barão de Antonina,3383,1710,1673,2156,1227,63.73
Barbosa,7284,3651,3633,6230,1054,85.53
Bariri,33993,16944,17049,32762,1231,96.38
Barra Bonita,34914,17011,17903,34268,646,98.15
Barra do Chapéu,5530,2886,2644,1628,3902,29.44
Barra do Turvo,7687,3971,3716,3591,4096,46.72
Barretos,118048,57086,60962,114452,3596,96.95
Barrinha,32338,16190,16148,31979,359,98.89
Barueri,264390,128627,135763,264390,,100
Bastos,20301,9916,10385,18001,2300,88.67
Batatais,60222,29529,30693,53258,6964,88.44
Bauru,364225,176473,187752,358133,6092,98.33
Bebedouro,74155,36025,38130,71307,2848,96.16
Bento de Abreu,2945,1489,1456,2815,130,95.59
Bernardino de Campos,10787,5243,5544,9869,918,91.49
Bertioga,63290,31408,31882,62695,595,99.06
Bilac,7816,3849,3967,7373,443,94.33
Birigui,121329,58965,62364,118125,3204,97.36
Biritiba Mirim,32338,16227,16111,28210,4128,87.23
Boa Esperança do Sul,14582,7283,7299,13403,1179,91.91
Bocaina,12135,6022,6113,11341,794,93.46
Bofete,11076,5568,5508,7062,4014,63.76
Boituva,57292,28670,28622,53893,3399,94.07
Bom Jesus dos Perdões,24291,12127,12164,22118,2173,91.05
Bom Sucesso de Itararé,3861,1944,1917,2885,976,74.72
Borá,812,422,390,632,180,77.83
Boracéia,4759,2417,2342,4342,417,91.24
Borborema,15323,7707,7616,14405,918,94.01
Borebi,2579,1272,1307,2400,179,93.06
Botucatu,141135,68579,72556,136396,4739,96.64
Bragança Paulista,163980,80417,83563,160871,3109,98.1
Braúna,5552,2786,2766,5150,402,92.76
Brejo Alegre,2768,1408,1360,2378,390,85.91
Brodowski,23943,11785,12158,23647,296,98.76
Brotas,23850,11820,12030,20735,3115,86.94
Buri,19678,9979,9699,16462,3216,83.66
Buritama,16596,8263,8333,15922,674,95.94
Buritizal,4307,2191,2116,3611,696,83.84
Cabrália Paulista,4308,2177,2131,3760,548,87.28
Cabreúva,49430,24837,24593,44288,5142,89.6
Cachoeira Paulista,32231,15736,16495,26907,5324,83.48
Caconde,18854,9370,9484,13537,5317,71.8
Cafelândia,17244,8485,8759,15529,1715,90.05
Caiabu,4103,2103,2000,3506,597,85.45
Caieiras,100612,49282,51330,98864,1748,98.26
Caiuá,5600,2893,2707,2145,3455,38.3
Cajamar,77627,38646,38981,76714,913,98.82
Cajati,28992,14590,14402,21499,7493,74.15
Cajobi,10105,5137,4968,9594,511,94.94
Cajuru,25663,12784,12879,22937,2726,89.38
Campina do Monte Alegre,5812,2929,2883,5120,692,88.09
Campinas,1175501,567233,608268,1155288,20213,98.28
Campo Limpo Paulista,82842,40611,42231,82842,,100
Campos do Jordão,50118,24371,25747,49805,313,99.38
Campos Novos Paulista,4817,2464,2353,3981,836,82.64
Cananéia,12341,6144,6197,10710,1631,86.78
